Track,Artist,Album,URL,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Sixteen Tons,Tennessee Ernie Ford,Sixteen Tons,https://open.spotify.com/track/4KM77RUl2IKdXGhtOBbKIS,gospel,0.667,0.25,-18.533,0.217,0.757,0.0,0.25,0.412,144.145
On the Other Hand,Randy Travis,Storms of Life,https://open.spotify.com/track/5MkOctZG8LI9uHzpY7ncWj,gospel,0.657,0.415,-9.915,0.025,0.175,5.65e-06,0.132,0.347,96.03
Believe For It (feat. Lauren Daigle),CeCe Winans,Believe For It (feat. Lauren Daigle),https://open.spotify.com/track/0tlJgLE8ddOq2L2k6YBc2y,gospel,0.275,0.643,-6.231,0.0379,0.0623,0.0,0.103,0.172,157.167
Heartbeats,José González,Veneer,https://open.spotify.com/track/5YqpHuXpFjDVZ7tY1ClFll,goth,0.589,0.177,-14.891,0.0325,0.977,0.714,0.0958,0.311,88.409
Goo Goo Muck,The Cramps,Psychedelic Jungle,https://open.spotify.com/track/3EEd6ldsPat620GVYMEhOP,goth,0.582,0.767,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683
I Don't Wanna Be Me,Type O Negative,Life Is Killing Me,https://open.spotify.com/track/4eGHEHqoDMMejzPhRFTc7p,goth,0.474,0.977,-8.651,0.15,0.024,0.604,0.0931,0.0449,100.557
Black No. 1 (Little Miss Scare -All),Type O Negative,Bloody Kisses (Top Shelf Edition),https://open.spotify.com/track/710B9xFjNOisQtKtppZE9p,goth,0.348,0.7,-8.885,0.0611,0.0397,0.00228,0.106,0.416,93.614
Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),https://open.spotify.com/track/0ZNYGrmcehorhh9JOeg5Iv,goth,0.714,0.306,-12.111,0.0388,0.726,0.168,0.0924,0.314,129.984
Love You to Death,Type O Negative,October Rust (Special Edition),https://open.spotify.com/track/58RDwkonFMOkoytBtIQetc,goth,0.423,0.738,-7.329,0.0319,0.359,0.084,0.0801,0.276,111.414
Human Fly,The Cramps,Off The Bone,https://open.spotify.com/track/0ElRzK07sc9eszyk1ea9Ab,goth,0.531,0.849,-10.754,0.111,0.0389,0.00763,0.186,0.305,119.516
Make A Move,Icon For Hire,Scripted,https://open.spotify.com/track/0FtD1ZukwCnuTfTNuwxrQM,goth,0.513,0.83,-4.71,0.0718,0.00181,0.0,0.0512,0.714,82.982
Far From Any Road,The Handsome Family,Singing Bones,https://open.spotify.com/track/3LDkLpuxQlEuEiZmkxpr8S,goth,0.707,0.556,-10.101,0.0303,0.19,0.0159,0.388,0.746,120.028
Drop Dead Cynical,Amaranthe,MASSIVE ADDICTIVE,https://open.spotify.com/track/3X1usZ9bRwbyEjAnkLAJWO,goth,0.524,0.891,-4.722,0.0753,2.89e-05,0.00115,0.0759,0.57,140.042
Rabid,Mortician,Chainsaw Dismemberment,https://open.spotify.com/track/5OuBnBrF86yVo511Ufu1pe,grindcore,0.34,0.792,-12.269,0.0797,0.00223,0.902,0.127,0.196,93.0
Bring Back the Plague,Cattle Decapitation,Death Atlas,https://open.spotify.com/track/2vjoV2tKJMfhLCPjPa9dWt,grindcore,0.244,0.986,-4.149,0.1,3.78e-05,0.831,0.133,0.177,117.005
Chainsaw Dismemberment,Mortician,Chainsaw Dismemberment,https://open.spotify.com/track/76rl8bu092FOT8xrT5fJVU,grindcore,0.439,0.604,-12.649,0.128,0.00204,0.00254,0.511,0.416,125.229
Scourge of the Offspring,Cattle Decapitation,Terrasite,https://open.spotify.com/track/4XszLSHo8Tu3eFZhQ5FSd4,grindcore,0.265,0.964,-4.54,0.157,4.34e-05,0.61,0.0745,0.236,143.893
Amputee,Agoraphobic Nosebleed,Bestial Machinery,https://open.spotify.com/track/0JgzQQ1rNUVE5GCIqCnlxE,grindcore,0.0,0.944,-3.875,0.0,2.26e-06,0.762,0.143,0.0,0.0
Forced Gender Reassignment,Cattle Decapitation,Monolith of Inhumanity,https://open.spotify.com/track/28kizMSvL3DcCGINWSOUjq,grindcore,0.345,0.975,-3.573,0.251,6.69e-05,0.691,0.312,0.164,115.231
Spend The Grace,Full Of Hell,Spend The Grace,https://open.spotify.com/track/0oR8hCuNGBlHDY6bdiOVry,grindcore,0.359,0.345,-9.751,0.0506,0.00735,0.622,0.648,0.125,119.077
We Eat Our Young,Cattle Decapitation,Terrasite,https://open.spotify.com/track/2VREb6SYgne3Eai0nrXUPk,grindcore,0.373,0.957,-4.677,0.123,1.14e-05,0.831,0.351,0.0721,119.948
Finish Them,Cattle Decapitation,Death Atlas,https://open.spotify.com/track/5XnbiEvRWlZh4TJUa2U5wb,grindcore,0.328,0.966,-3.948,0.129,2.72e-05,0.461,0.275,0.32,111.892
A Photic Doom,Cattle Decapitation,Terrasite,https://open.spotify.com/track/3PZCcCykTqurDFO6QUfGKq,grindcore,0.368,0.965,-4.396,0.131,1.25e-05,0.778,0.261,0.253,111.934
Bad Company,Five Finger Death Punch,War Is the Answer,https://open.spotify.com/track/2KZXCH4npY28gtZKXcB2N8,groove,0.558,0.886,-4.196,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041
Walk,Pantera,Vulgar Display of Power,https://open.spotify.com/track/7fcfNW0XxTWlwVlftzfDOR,groove,0.43,0.704,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242
Jekyll and Hyde,Five Finger Death Punch,Got Your Six (Deluxe),https://open.spotify.com/track/5dFEX82XB1ElGFwfCp0rql,groove,0.542,0.96,-4.681,0.106,0.000571,2.21e-05,0.0565,0.722,155.013
Wrong Side of Heaven,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1",https://open.spotify.com/track/0GQmBK4A5hFQdjhYCFCbtK,groove,0.483,0.926,-5.122,0.0667,0.00661,0.0,0.29,0.528,150.012
Mother,Danzig,Danzig,https://open.spotify.com/track/7txxAtOMwLLnQTpKeBL6bp,groove,0.365,0.763,-9.45,0.0591,0.00726,0.000457,0.0865,0.342,148.366
A Little Bit Off,Five Finger Death Punch,F8,https://open.spotify.com/track/6GqqGv8frU7kqzXkm2rewI,groove,0.664,0.828,-6.053,0.0404,0.00839,0.0,0.294,0.82,103.985
Cowboys from Hell,Pantera,Cowboys from Hell,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop,groove,0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816
Ferrari,James Hype,Ferrari,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,groove,0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004
Saving Up,Dom Dolla,Saving Up,https://open.spotify.com/track/787Y2idwCU2Rk60Prv4wpr,groove,0.747,0.822,-6.373,0.0721,0.00353,0.132,0.165,0.578,129.994
Delusions of Saviour,Slayer,Repentless,https://open.spotify.com/track/06WUUNf7q18NZfjIsQFsfa,groove,0.223,0.805,-8.969,0.037,0.000179,0.814,0.0849,0.25,168.165
Everlong,Foo Fighters,The Colour And The Shape,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,grunge,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,grunge,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
Come As You Are,Nirvana,Nevermind (Remastered),https://open.spotify.com/track/4P5KoWXOxwuobLmHXLMobV,grunge,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125
Kryptonite,3 Doors Down,The Better Life,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,grunge,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Iris,The Goo Goo Dolls,Dizzy up the Girl,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,grunge,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
The Middle,Jimmy Eat World,Bleed American,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,grunge,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152
In the End,Linkin Park,Hybrid Theory (Bonus Edition),https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,grunge,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",https://open.spotify.com/track/6TfBA04WJ3X1d1wXhaCFVT,grunge,0.55,0.917,-3.159,0.0638,0.00428,0.0,0.197,0.601,126.115
The Kill,Thirty Seconds To Mars,A Beautiful Lie,https://open.spotify.com/track/0lP4HYLmvowOKdsQ7CVkuq,grunge,0.179,0.912,-3.881,0.0791,0.0014,0.000294,0.582,0.289,182.99
Numb,Linkin Park,Meteora,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,grunge,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018
Dos Oruguitas,Disney Peaceful Guitar,Disney Guitar: Family,https://open.spotify.com/track/6WuBXGHGpSqpkFCl7ei8xp,guitar,0.468,0.36,-8.721,0.0334,0.881,0.0946,0.12,0.374,95.915
Once Upon a Dream,Disney Peaceful Guitar,Disney Guitar: Lullaby,https://open.spotify.com/track/1jHNQodYIGvk187xrISw1i,guitar,0.672,0.0914,-16.644,0.083,0.969,0.747,0.109,0.354,143.403
Colors of the Wind,Disney Peaceful Guitar,Disney Guitar: Happy,https://open.spotify.com/track/0S5MCBH1qTVCsckidwvS8G,guitar,0.469,0.248,-13.946,0.0641,0.891,0.886,0.112,0.333,179.51
The Lamp Is Low,Laurindo Almeida,Classical Current,https://open.spotify.com/track/4QzZVJc6qPTtTkPem7qZRo,guitar,0.486,0.313,-14.323,0.0252,0.894,0.948,0.167,0.199,102.605
Baby Mine,Disney Peaceful Guitar,Disney Guitar: Lullaby,https://open.spotify.com/track/4BU9s6QLGFCaxlgaPWWuFY,guitar,0.527,0.118,-17.135,0.0449,0.951,0.902,0.111,0.402,135.609
You'll Be in My Heart,Disney Peaceful Guitar,Disney Guitar: Lullaby,https://open.spotify.com/track/5UewWG58QFgJXV36lH6kY8,guitar,0.52,0.184,-17.902,0.068,0.961,0.917,0.102,0.443,81.602
Wu Wei,De Moi,Wu Wei,https://open.spotify.com/track/6EOpjNGn34eXLJASVcUksY,guitar,0.218,0.0293,-31.517,0.0425,0.951,0.565,0.228,0.037,68.836
An Idea,Leo Brouwer,En Otra Parte,https://open.spotify.com/track/1PINN6x0Riouab3wPSglpp,guitar,0.294,0.00785,-29.64,0.0667,0.994,0.956,0.0929,0.173,70.958
Lava,Kuana Torres Kahele,"Lava (From ""Lava"")",https://open.spotify.com/track/0wqeaDeaKq14IuQESPqBEJ,guitar,0.478,0.212,-13.124,0.0516,0.938,0.0,0.587,0.431,74.643
It's a Small World,Disney Peaceful Guitar,Disney Guitar: Lullaby,https://open.spotify.com/track/1KmzKvDdiKdcVoxxILTDdz,guitar,0.501,0.17,-17.733,0.0487,0.973,0.939,0.122,0.789,75.064
Pretty Rave Girl,S3RL,Old Skool Masters - S3RL,https://open.spotify.com/track/3G1SVODcssMmS5YM5G3tun,happy,0.429,0.988,-5.241,0.14,0.00747,0.0486,0.169,0.312,175.019
Mtc,S3RL,Mtc,https://open.spotify.com/track/56nLHj9HJr3xpbLarnr0l4,happy,0.485,0.979,-0.943,0.116,0.00792,0.00171,0.387,0.432,175.074
Pika Girl,S3RL,Pika Girl - Single,https://open.spotify.com/track/5xnLp83K91G0Qi9zPtOSnG,happy,0.592,0.991,-1.827,0.144,0.0123,3.8e-06,0.361,0.523,175.047
DLMD,Darren Styles,DLMD,https://open.spotify.com/track/2d9EgBM9F09IkEG8t9T6L8,happy,0.487,0.99,-2.282,0.094,0.000595,0.843,0.331,0.161,160.046
Bass Slut - Original Mix,S3RL,Bass Slut / It Went / Crazy Ass Bitch,https://open.spotify.com/track/51czegKF9UbmUZkp8etKj2,happy,0.511,0.987,-3.182,0.171,0.00453,0.00214,0.142,0.521,174.996
Little Kandi Raver 2012,S3RL,Little Kandi Raver 2012,https://open.spotify.com/track/1vNdvKfEtoAiaDVPnY38Dm,happy,0.568,0.986,-2.016,0.0684,0.000557,3e-05,0.3,0.494,175.058
Hyper Hyper,Scooter,Party Hymnen 2023,https://open.spotify.com/track/7qlO0he4MVK5nbvphs5R4Q,happy,0.486,0.994,-12.16,0.0847,0.0108,0.00507,0.969,0.363,160.859
Hyper Hyper,Scooter,Faschingshits,https://open.spotify.com/track/56Jl7m9FutxFzmIfjXKYcV,happy,0.486,0.994,-12.16,0.0847,0.0108,0.00507,0.969,0.363,160.859
Hyper Hyper,Scooter,Faschingsmusik,https://open.spotify.com/track/74vQgJxxhsuon2F5WESFjm,happy,0.486,0.994,-12.16,0.0847,0.0108,0.00507,0.969,0.363,160.859
Nessaja,Scooter,Faschingslieder 2023,https://open.spotify.com/track/5isf1U3yZS7qUNQVC7zlHK,happy,0.502,0.905,-6.569,0.0381,0.00177,0.0263,0.226,0.123,143.032
Don't Stop Believin',Journey,Escape (Bonus Track Version),https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,hard-rock,0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,hard-rock,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303
Thunderstruck,AC/DC,The Razors Edge,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,hard-rock,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52
Enter Sandman (Remastered),Metallica,Metallica (Remastered),https://open.spotify.com/track/3VqHuw0wFlIHcIPWkhIbdQ,hard-rock,0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296
Highway to Hell,AC/DC,Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,hard-rock,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728
You Shook Me All Night Long,AC/DC,Back In Black,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,hard-rock,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361
Dream On,Aerosmith,Aerosmith,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH,hard-rock,0.392,0.476,-7.583,0.0249,0.397,0.000163,0.309,0.234,78.031
